model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-1.5B,0,2.0,False,1.0,True,7.192736045519511,2.876961366335551,30,29.86,476.9322814941399,21.595881462097168,54.167476654052734,2.025747299194336,2.2594923973083496,0.0,53.02490425109863,325.5342388916016
Qwen/Qwen2.5-1.5B,0,2.0,True,1.0,True,2.8170489708582562,2.876961366335551,30,30.87,417.9735305786127,22.95923137664795,49.691749572753906,2.106623411178589,2.52795147895813,0.0,45.70131301879883,410.61367401123084
Qwen/Qwen2.5-1.5B,0,2.0,True,2.0,True,2.9708463112513224,2.876961366335551,30,31.79,421.36376434326104,22.770503997802734,49.75031661987305,2.1026997566223145,2.5419390201568604,0.0,45.743473052978516,409.5324887084961
Qwen/Qwen2.5-1.5B,0,2.0,True,4.0,True,3.2712139527002972,2.876961366335551,30,31.58,416.27498321533096,22.499849319458008,49.594390869140625,2.101065158843994,2.5503766536712646,0.0,45.73277473449707,405.4146710205079
Qwen/Qwen2.5-1.5B,0,4.0,False,1.0,False,11.678069361050923,2.876961366335551,30,31.82,429.98433959960926,17.02501392364502,46.388282775878906,2.0012736320495605,3.251461982727051,0.0,198.14046478271484,355.4301507568359
Qwen/Qwen2.5-1.5B,0,4.0,True,1.0,False,3.898828625679016,2.876961366335551,30,32.03,416.0483615112302,22.166584968566895,50.368202209472656,2.073491334915161,2.527405261993408,0.0,46.62850761413574,440.6031039428713
Qwen/Qwen2.5-1.5B,0,4.0,True,2.0,False,4.840076549847921,2.876961366335551,30,32.27,428.08785949707,21.673200607299805,50.95540237426758,2.0540771484375,2.5113296508789062,0.0,47.691293716430664,390.83188476562503
Qwen/Qwen2.5-1.5B,0,4.0,True,4.0,False,6.347672486305237,2.876961366335551,30,32.16,443.5422705078124,21.961204528808594,52.761478424072266,2.0169849395751953,2.433490514755249,0.0,49.91572380065918,345.7636737060549
Qwen/Qwen2.5-1.5B,0,4.0,False,1.0,True,8.570186511675518,2.876961366335551,30,32.14,467.1357189941402,21.191805839538574,54.78012466430664,1.9935979843139648,2.6236608028411865,0.0,80.25183486938477,354.57691558837894
Qwen/Qwen2.5-1.5B,0,4.0,True,1.0,True,3.18679145971934,2.876961366335551,30,32.37,415.771985473632,22.66828155517578,50.042388916015625,2.094876527786255,2.537731409072876,0.0,45.845985412597656,414.2784588623047
